foodName,proteinAmt,calorieAmt,cost
Crunchy Taco (Taco Bell),8,170,1.89
Soft Taco (Taco Bell),9,180,1.99
Bean Burrito (Taco Bell),13,350,2.49
Chicken Quesadilla (Taco Bell),27,520,5.49
Steak Quesadilla (Taco Bell),27,520,5.99
Cheesy Gordita Crunch (Taco Bell),20,500,4.89
Nachos BellGrande (Taco Bell),16,740,5.79
Turkey Bacon & Egg White Sandwich (Starbucks),17,230,5.45
Double-Smoked Bacon Cheddar Sandwich (Starbucks),27,500,6.25
Spinach Feta Egg White Wrap (Starbucks),20,290,5.45
Grilled Cheese Sandwich (Starbucks),19,540,6.25
Chicken Maple Butter Sandwich (Starbucks),16,460,7.25
Bacon Gouda Egg Sandwich (Starbucks),18,360,4.95
Orange Chicken (Panda Express),25,490,6.15
Beijing Beef (Panda Express),14,480,6.15
Broccoli Beef (Panda Express),9,150,6.15
Kung Pao Chicken (Panda Express),16,290,6.15
Mushroom Chicken (Panda Express),13,220,6.15
Black Pepper Angus Steak (Panda Express),19,180,7.5
Honey Walnut Shrimp (Panda Express),13,360,7.5
Chick-fil-A Chicken Sandwich (Chick-fil-A),29,440,4.75
Spicy Chicken Sandwich (Chick-fil-A),28,460,5.15
Grilled Chicken Sandwich (Chick-fil-A),28,380,7.19
Grilled Nuggets 8ct (Chick-fil-A),25,130,5.35
Chick-n-Strips 3ct (Chick-fil-A),29,330,4.99
Traditional Wings 6ct (Buffalo Wild Wings),42,430,9.99
Boneless Wings 6ct (Buffalo Wild Wings),31,480,8.99
Mozzarella Sticks (Buffalo Wild Wings),25,780,6.99
Crunchwrap Supreme (Taco Bell),16,530,4.99
Beef Chalupa Supreme (Taco Bell),13,350,3.89
Chicken Chalupa Supreme (Taco Bell),16,330,4.49
Steak Chalupa Supreme (Taco Bell),15,330,4.69
Cheesy Roll Up (Taco Bell),9,180,1.39
Cheesy Fiesta Potatoes (Taco Bell),4,230,2.59
Mexican Pizza (Taco Bell),19,540,5.49
Spicy Potato Soft Taco (Taco Bell),4,240,1.49
Black Bean Crunchwrap (Taco Bell),12,510,4.99
Crunchy Taco Supreme (Taco Bell),8,190,2.39
Egg White & Roasted Red Pepper Egg Bites (Starbucks),15,170,5.45
Bacon & Gruyere Egg Bites (Starbucks),19,300,5.75
Sausage Cheddar Egg Sandwich (Starbucks),19,480,4.25
Impossible Breakfast Sandwich (Starbucks),22,430,5.25
Ham & Swiss Croissant (Starbucks),18,320,5.45
Turkey Pesto Panini (Starbucks),33,550,7.95
Tomato Mozzarella Panini (Starbucks),15,360,6.95
SweetFire Chicken Breast (Panda Express),14,380,6.15
String Bean Chicken Breast (Panda Express),14,210,6.15
Sweet & Sour Chicken Breast (Panda Express),13,380,6.15
Teriyaki Chicken (Panda Express),36,300,6.15
Chow Mein (Panda Express),13,510,5.5
Fried Rice (Panda Express),11,520,5.5
Chick-fil-A Deluxe Sandwich (Chick-fil-A),33,500,5.85
