foodName,proteinAmt,calorieAmt,cost
Chicken Breast,31,165,0.99
Egg,6,72,0.99
Greek Yogurt,17,100,0.99
Oatmeal,6,158,0.99
Almonds,6,164,0.99
Salmon Fillet,22,208,0.99
Peanut Butter,8,188,0.99
Milk Whole,8,150,0.99
Ground Beef Lean,26,250,0.99
Cheddar Cheese,7,113,0.99
Wholesome Vanilla Mix,26,58,0.99
Organic Vanilla Bites,4,73,0.99
Zesty Honey Strips,8,123,0.99
Fresh Chicken Energy Mix,10,188,0.99
Zesty Almond Strips,37,208,0.99
Wild Grain Strips,28,214,0.99
Crispy Chili Delight,25,354,0.99
Golden Berry Medley,8,336,0.99
Zesty Honey Soup,21,200,0.99
Fresh Oat Strips,1,115,0.99
Zesty Maple Granola,22,338,0.99
Smoked Garden Pasta,29,435,0.99
Zesty Peanut Nuggets,36,129,0.99
Classic Beef Energy Mix,22,456,0.99
Hearty Herb Rice,30,103,0.99
Hearty Maple Rice,7,417,0.99
Golden Berry Strips,31,101,0.99
Golden Grain Nuggets,23,411,0.99
Premium Peanut Protein Bar,17,392,0.99
Rustic Pepper Strips,4,64,0.99
Glazed Pepper Protein Bar,18,284,0.99
Sweet Oat Blend,38,465,0.99
Premium Maple Mix,33,594,0.99
Sweet Fruit Medley,13,368,0.99
Classic Grain Blend,12,269,0.99
Premium Vanilla Stew,30,350,0.99
Spicy Garden Mix,2,435,0.99
Fresh Fruit Crunch,29,488,0.99
Spicy Pepper Strips,2,599,0.99
Golden Peanut Crunch,36,434,0.99
Wild Peanut Chunks,21,374,0.99
Rustic Cocoa Medley,19,164,0.99
Herbal Herb Slices,15,535,0.99
Crispy Tomato Rice,27,347,0.99
Tangy Oat Soup,3,359,0.99
Herbal Garden Chunks,31,190,0.99
Sweet Garden Medley,17,133,0.99
Crispy Veggie Crumbles,13,288,0.99
Herbal Almond Protein Bar,3,409,0.99
Crispy Cocoa Granola,15,385,0.99
Wild Chicken Rice,22,186,0.99
Zesty Herb Slices,11,334,0.99
Organic Grain Delight,21,469,0.99
Fresh Vanilla Crackers,39,386,0.99
Zesty Protein Bites,9,190,0.99
Wholesome Tomato Crumbles,7,305,0.99
Fresh Herb Medley,3,53,0.99
Glazed Nut Crunch,8,185,0.99
Sweet Cocoa Delight,25,107,0.99
Fusion Chicken Wafers,28,424,0.99
Organic Nut Granola,22,76,0.99
Hearty Peanut Medley,1,389,0.99
Sweet Tomato Rice,22,300,0.99
Rustic Chili Mix,13,196,0.99
Organic Garden Rice,24,474,0.99
Herbal Fruit Rice,4,507,0.99
Organic Protein Wafers,35,98,0.99
Zesty Peanut Slices,37,72,0.99
Golden Nut Nuggets,26,495,0.99
Fresh Vanilla Nuggets,36,303,0.99
Fusion Veggie Bites,11,250,0.99
Savory Fruit Blend,31,327,0.99
Rustic Veggie Medley,27,419,0.99
Fresh Pepper Bites,2,496,0.99
Wild Herb Chunks,23,449,0.99
Wild Oat Crackers,3,386,0.99
Glazed Garden Rice,40,63,0.99
Wholesome Berry Crackers,18,85,0.99
Sweet Maple Mix,13,262,0.99
Zesty Cocoa Crunch,22,336,0.99
Smoked Fruit Delight,38,98,0.99
Wild Honey Mix,36,187,0.99
Fusion Garden Bites,17,305,0.99
Fusion Vanilla Strips,6,417,0.99
Fresh Chicken Slices,17,136,0.99
Sweet Oat Granola,21,377,0.99
Rustic Chicken Blend,5,383,0.99
Spicy Maple Delight,27,94,0.99
Roasted Almond Pasta,8,581,0.99
Glazed Beef Strips,27,447,0.99
Wild Fruit Energy Mix,2,372,0.99
Savory Nut Crunch,34,52,0.99
Organic Peanut Pasta,23,515,0.99
Premium Peanut Granola,16,526,0.99
Golden Vanilla Crackers,9,82,0.99
Organic Chili Blend,11,343,0.99
Classic Chili Protein Bar,10,98,0.99
Wholesome Honey Crumbles,16,193,0.99
Smoked Oat Crunch,33,378,0.99
Herbal Cocoa Soup,40,142,0.99
Roasted Berry Bites,39,206,0.99
Classic Chili Chunks,13,112,0.99
